Model,Attack,Partition,Aggregator,Iteration,Metric,Mean,CI
softmax,static,iid,Mean,0,accs,0.1808,nan
softmax,static,iid,Mean,1,accs,0.1942,nan
softmax,static,iid,Mean,0,losses,2.2756263187408448,nan
softmax,static,iid,Mean,1,losses,2.266747931289673,nan
softmax,static,iid,Mean,0,xi,1.064476490020752,nan
softmax,static,iid,Mean,1,xi,0.9794561266899109,nan
softmax,static,iid,Mean,0,A,1.5406008958816528,nan
softmax,static,iid,Mean,1,A,1.4482742547988892,nan
softmax,static,iid,Mean,0,variance,0.0001551139575894922,nan
softmax,static,iid,Mean,1,variance,0.00013319858408067375,nan
softmax,static,iid,TriMean,0,accs,0.1583,nan
softmax,static,iid,TriMean,1,accs,0.1766,nan
softmax,static,iid,TriMean,0,losses,2.280810466003418,nan
softmax,static,iid,TriMean,1,losses,2.2704157249450683,nan
softmax,static,iid,TriMean,0,xi,1.4961103200912476,nan
softmax,static,iid,TriMean,1,xi,1.3591601848602295,nan
softmax,static,iid,TriMean,0,A,1.4600623846054077,nan
softmax,static,iid,TriMean,1,A,1.3619778156280518,nan
softmax,static,iid,TriMean,0,variance,0.0001707571354927495,nan
softmax,static,iid,TriMean,1,variance,0.00014697153528686613,nan
softmax,static,iid,CC,0,accs,0.1121,nan
softmax,static,iid,CC,1,accs,0.1301,nan
softmax,static,iid,CC,0,losses,2.293577100753784,nan
softmax,static,iid,CC,1,losses,2.2838734767913818,nan
softmax,static,iid,CC,0,xi,1.2957258224487305,nan
softmax,static,iid,CC,1,xi,1.1652007102966309,nan
softmax,static,iid,CC,0,A,1.4379377365112305,nan
softmax,static,iid,CC,1,A,1.3799285888671875,nan
softmax,static,iid,CC,0,variance,0.00015977594011928886,nan
softmax,static,iid,CC,1,variance,0.0001351029786746949,nan
softmax,static,iid,FABA,0,accs,0.1335,nan
softmax,static,iid,FABA,1,accs,0.1453,nan
softmax,static,iid,FABA,0,losses,2.296332481765747,nan
softmax,static,iid,FABA,1,losses,2.286031360626221,nan
softmax,static,iid,FABA,0,xi,1.3777203559875488,nan
softmax,static,iid,FABA,1,xi,1.2093888521194458,nan
softmax,static,iid,FABA,0,A,1.6516040563583374,nan
softmax,static,iid,FABA,1,A,1.571388840675354,nan
softmax,static,iid,FABA,0,variance,0.00020968767057638615,nan
softmax,static,iid,FABA,1,variance,0.00017518193635623902,nan
softmax,static,iid,LFighter,0,accs,0.1196,nan
softmax,static,iid,LFighter,1,accs,0.1486,nan
softmax,static,iid,LFighter,0,losses,2.2840876331329345,nan
softmax,static,iid,LFighter,1,losses,2.272830118560791,nan
softmax,static,iid,LFighter,0,xi,1.1651666164398193,nan
softmax,static,iid,LFighter,1,xi,1.057855248451233,nan
softmax,static,iid,LFighter,0,A,1.4304062128067017,nan
softmax,static,iid,LFighter,1,A,1.328855037689209,nan
softmax,static,iid,LFighter,0,variance,0.0001713777892291546,nan
softmax,static,iid,LFighter,1,variance,0.00014435318007599562,nan
softmax,static,dirichlet,Mean,0,accs,0.0709,nan
softmax,static,dirichlet,Mean,1,accs,0.0794,nan
softmax,static,dirichlet,Mean,0,losses,2.315701406097412,nan
softmax,static,dirichlet,Mean,1,losses,2.3053356323242187,nan
softmax,static,dirichlet,Mean,0,xi,2.31266188621521,nan
softmax,static,dirichlet,Mean,1,xi,2.2319529056549072,nan
