Dataset,Model,Attack,Partition,Aggregator,Iteration,Metric,Mean,CI
MNIST,softmax,static,dirichlet,Mean,81,accs,0.6201,nan
MNIST,softmax,static,dirichlet,Mean,82,accs,0.6201,nan
MNIST,softmax,static,dirichlet,Mean,83,accs,0.6201,nan
MNIST,softmax,static,dirichlet,Mean,84,accs,0.6201,nan
MNIST,softmax,static,dirichlet,Mean,85,accs,0.6201,nan
MNIST,softmax,static,dirichlet,Mean,86,accs,0.6201,nan
MNIST,softmax,static,dirichlet,Mean,87,accs,0.6201,nan
MNIST,softmax,static,dirichlet,Mean,88,accs,0.6201,nan
MNIST,softmax,static,dirichlet,Mean,89,accs,0.6201,nan
MNIST,softmax,static,dirichlet,Mean,90,accs,0.6352,nan
MNIST,softmax,static,dirichlet,Mean,91,accs,0.6352,nan
MNIST,softmax,static,dirichlet,Mean,92,accs,0.6352,nan
MNIST,softmax,static,dirichlet,Mean,93,accs,0.6352,nan
MNIST,softmax,static,dirichlet,Mean,94,accs,0.6352,nan
MNIST,softmax,static,dirichlet,Mean,95,accs,0.6352,nan
MNIST,softmax,static,dirichlet,Mean,96,accs,0.6352,nan
MNIST,softmax,static,dirichlet,Mean,97,accs,0.6352,nan
MNIST,softmax,static,dirichlet,Mean,98,accs,0.6352,nan
MNIST,softmax,static,dirichlet,Mean,99,accs,0.6352,nan
MNIST,softmax,static,dirichlet,Mean,100,accs,0.6565,nan
MNIST,softmax,static,dirichlet,Mean,101,accs,0.6565,nan
MNIST,softmax,static,dirichlet,Mean,102,accs,0.6565,nan
MNIST,softmax,static,dirichlet,Mean,103,accs,0.6565,nan
MNIST,softmax,static,dirichlet,Mean,104,accs,0.6565,nan
MNIST,softmax,static,dirichlet,Mean,105,accs,0.6565,nan
MNIST,softmax,static,dirichlet,Mean,106,accs,0.6565,nan
MNIST,softmax,static,dirichlet,Mean,107,accs,0.6565,nan
MNIST,softmax,static,dirichlet,Mean,108,accs,0.6565,nan
MNIST,softmax,static,dirichlet,Mean,109,accs,0.6565,nan
MNIST,softmax,static,dirichlet,Mean,110,accs,0.6728,nan
MNIST,softmax,static,dirichlet,Mean,111,accs,0.6728,nan
MNIST,softmax,static,dirichlet,Mean,112,accs,0.6728,nan
MNIST,softmax,static,dirichlet,Mean,113,accs,0.6728,nan
MNIST,softmax,static,dirichlet,Mean,114,accs,0.6728,nan
MNIST,softmax,static,dirichlet,Mean,115,accs,0.6728,nan
MNIST,softmax,static,dirichlet,Mean,116,accs,0.6728,nan
MNIST,softmax,static,dirichlet,Mean,117,accs,0.6728,nan
MNIST,softmax,static,dirichlet,Mean,118,accs,0.6728,nan
MNIST,softmax,static,dirichlet,Mean,119,accs,0.6728,nan
MNIST,softmax,static,dirichlet,Mean,120,accs,0.6862,nan
MNIST,softmax,static,dirichlet,Mean,121,accs,0.6862,nan
MNIST,softmax,static,dirichlet,Mean,122,accs,0.6862,nan
MNIST,softmax,static,dirichlet,Mean,123,accs,0.6862,nan
MNIST,softmax,static,dirichlet,Mean,124,accs,0.6862,nan
MNIST,softmax,static,dirichlet,Mean,125,accs,0.6862,nan
MNIST,softmax,static,dirichlet,Mean,126,accs,0.6862,nan
MNIST,softmax,static,dirichlet,Mean,127,accs,0.6862,nan
MNIST,softmax,static,dirichlet,Mean,128,accs,0.6862,nan
MNIST,softmax,static,dirichlet,Mean,129,accs,0.6862,nan
MNIST,softmax,static,dirichlet,Mean,130,accs,0.698,nan
MNIST,softmax,static,dirichlet,Mean,131,accs,0.698,nan
MNIST,softmax,static,dirichlet,Mean,132,accs,0.698,nan
MNIST,softmax,static,dirichlet,Mean,133,accs,0.698,nan
MNIST,softmax,static,dirichlet,Mean,134,accs,0.698,nan
MNIST,softmax,static,dirichlet,Mean,135,accs,0.698,nan
MNIST,softmax,static,dirichlet,Mean,136,accs,0.698,nan
MNIST,softmax,static,dirichlet,Mean,137,accs,0.698,nan
MNIST,softmax,static,dirichlet,Mean,138,accs,0.698,nan
MNIST,softmax,static,dirichlet,Mean,139,accs,0.698,nan
MNIST,softmax,static,dirichlet,Mean,140,accs,0.7103,nan
MNIST,softmax,static,dirichlet,Mean,141,accs,0.7103,nan
MNIST,softmax,static,dirichlet,Mean,142,accs,0.7103,nan
MNIST,softmax,static,dirichlet,Mean,143,accs,0.7103,nan
MNIST,softmax,static,dirichlet,Mean,144,accs,0.7103,nan
MNIST,softmax,static,dirichlet,Mean,145,accs,0.7103,nan
MNIST,softmax,static,dirichlet,Mean,146,accs,0.7103,nan
MNIST,softmax,static,dirichlet,Mean,147,accs,0.7103,nan
MNIST,softmax,static,dirichlet,Mean,148,accs,0.7103,nan
MNIST,softmax,static,dirichlet,Mean,149,accs,0.7103,nan
MNIST,softmax,static,dirichlet,Mean,150,accs,0.7169,nan
MNIST,softmax,static,dirichlet,Mean,151,accs,0.7169,nan
MNIST,softmax,static,dirichlet,Mean,152,accs,0.7169,nan
MNIST,softmax,static,dirichlet,Mean,153,accs,0.7169,nan
MNIST,softmax,static,dirichlet,Mean,154,accs,0.7169,nan
MNIST,softmax,static,dirichlet,Mean,155,accs,0.7169,nan
MNIST,softmax,static,dirichlet,Mean,156,accs,0.7169,nan
MNIST,softmax,static,dirichlet,Mean,157,accs,0.7169,nan
MNIST,softmax,static,dirichlet,Mean,158,accs,0.7169,nan
MNIST,softmax,static,dirichlet,Mean,159,accs,0.7169,nan
MNIST,softmax,static,dirichlet,Mean,160,accs,0.7239,nan
MNIST,softmax,static,dirichlet,Mean,161,accs,0.7239,nan
MNIST,softmax,static,dirichlet,Mean,162,accs,0.7239,nan
MNIST,softmax,static,dirichlet,Mean,163,accs,0.7239,nan
MNIST,softmax,static,dirichlet,Mean,164,accs,0.7239,nan
MNIST,softmax,static,dirichlet,Mean,165,accs,0.7239,nan
MNIST,softmax,static,dirichlet,Mean,166,accs,0.7239,nan
MNIST,softmax,static,dirichlet,Mean,167,accs,0.7239,nan
MNIST,softmax,static,dirichlet,Mean,168,accs,0.7239,nan
MNIST,softmax,static,dirichlet,Mean,169,accs,0.7239,nan
MNIST,softmax,static,dirichlet,Mean,170,accs,0.7338,nan
MNIST,softmax,static,dirichlet,Mean,171,accs,0.7338,nan
MNIST,softmax,static,dirichlet,Mean,172,accs,0.7338,nan
MNIST,softmax,static,dirichlet,Mean,173,accs,0.7338,nan
MNIST,softmax,static,dirichlet,Mean,174,accs,0.7338,nan
MNIST,softmax,static,dirichlet,Mean,175,accs,0.7338,nan
MNIST,softmax,static,dirichlet,Mean,176,accs,0.7338,nan
MNIST,softmax,static,dirichlet,Mean,177,accs,0.7338,nan
MNIST,softmax,static,dirichlet,Mean,178,accs,0.7338,nan
MNIST,softmax,static,dirichlet,Mean,179,accs,0.7338,nan
MNIST,softmax,static,dirichlet,Mean,180,accs,0.7409,nan
MNIST,softmax,static,dirichlet,Mean,181,accs,0.7409,nan
MNIST,softmax,static,dirichlet,Mean,182,accs,0.7409,nan
MNIST,softmax,static,dirichlet,Mean,183,accs,0.7409,nan
MNIST,softmax,static,dirichlet,Mean,184,accs,0.7409,nan
MNIST,softmax,static,dirichlet,Mean,185,accs,0.7409,nan
MNIST,softmax,static,dirichlet,Mean,186,accs,0.7409,nan
MNIST,softmax,static,dirichlet,Mean,187,accs,0.7409,nan
MNIST,softmax,static,dirichlet,Mean,188,accs,0.7409,nan
MNIST,softmax,static,dirichlet,Mean,189,accs,0.7409,nan
MNIST,softmax,static,dirichlet,Mean,190,accs,0.7481,nan
MNIST,softmax,static,dirichlet,Mean,191,accs,0.7481,nan
MNIST,softmax,static,dirichlet,Mean,192,accs,0.7481,nan
MNIST,softmax,static,dirichlet,Mean,193,accs,0.7481,nan
MNIST,softmax,static,dirichlet,Mean,194,accs,0.7481,nan
MNIST,softmax,static,dirichlet,Mean,195,accs,0.7481,nan
MNIST,softmax,static,dirichlet,Mean,196,accs,0.7481,nan
MNIST,softmax,static,dirichlet,Mean,197,accs,0.7481,nan
MNIST,softmax,static,dirichlet,Mean,198,accs,0.7481,nan
MNIST,softmax,static,dirichlet,Mean,199,accs,0.7544,nan
MNIST,softmax,static,dirichlet,Mean,0,losses,2.276019839859009,nan
MNIST,softmax,static,dirichlet,Mean,1,losses,2.276019839859009,nan
MNIST,softmax,static,dirichlet,Mean,2,losses,2.276019839859009,nan
MNIST,softmax,static,dirichlet,Mean,3,losses,2.276019839859009,nan
MNIST,softmax,static,dirichlet,Mean,4,losses,2.276019839859009,nan
MNIST,softmax,static,dirichlet,Mean,5,losses,2.276019839859009,nan
MNIST,softmax,static,dirichlet,Mean,6,losses,2.276019839859009,nan
MNIST,softmax,static,dirichlet,Mean,7,losses,2.276019839859009,nan
MNIST,softmax,static,dirichlet,Mean,8,losses,2.276019839859009,nan
MNIST,softmax,static,dirichlet,Mean,9,losses,2.276019839859009,nan
MNIST,softmax,static,dirichlet,Mean,10,losses,2.1950116905212402,nan
MNIST,softmax,static,dirichlet,Mean,11,losses,2.1950116905212402,nan
MNIST,softmax,static,dirichlet,Mean,12,losses,2.1950116905212402,nan
MNIST,softmax,static,dirichlet,Mean,13,losses,2.1950116905212402,nan
MNIST,softmax,static,dirichlet,Mean,14,losses,2.1950116905212402,nan
MNIST,softmax,static,dirichlet,Mean,15,losses,2.1950116905212402,nan
MNIST,softmax,static,dirichlet,Mean,16,losses,2.1950116905212402,nan
MNIST,softmax,static,dirichlet,Mean,17,losses,2.1950116905212402,nan
MNIST,softmax,static,dirichlet,Mean,18,losses,2.1950116905212402,nan
MNIST,softmax,static,dirichlet,Mean,19,losses,2.1950116905212402,nan
MNIST,softmax,static,dirichlet,Mean,20,losses,2.1202052181243896,nan
MNIST,softmax,static,dirichlet,Mean,21,losses,2.1202052181243896,nan
MNIST,softmax,static,dirichlet,Mean,22,losses,2.1202052181243896,nan
MNIST,softmax,static,dirichlet,Mean,23,losses,2.1202052181243896,nan
MNIST,softmax,static,dirichlet,Mean,24,losses,2.1202052181243896,nan
MNIST,softmax,static,dirichlet,Mean,25,losses,2.1202052181243896,nan
MNIST,softmax,static,dirichlet,Mean,26,losses,2.1202052181243896,nan
MNIST,softmax,static,dirichlet,Mean,27,losses,2.1202052181243896,nan
MNIST,softmax,static,dirichlet,Mean,28,losses,2.1202052181243896,nan
MNIST,softmax,static,dirichlet,Mean,29,losses,2.1202052181243896,nan
MNIST,softmax,static,dirichlet,Mean,30,losses,2.050743685913086,nan
MNIST,softmax,static,dirichlet,Mean,31,losses,2.050743685913086,nan
MNIST,softmax,static,dirichlet,Mean,32,losses,2.050743685913086,nan
MNIST,softmax,static,dirichlet,Mean,33,losses,2.050743685913086,nan
MNIST,softmax,static,dirichlet,Mean,34,losses,2.050743685913086,nan
MNIST,softmax,static,dirichlet,Mean,35,losses,2.050743685913086,nan
MNIST,softmax,static,dirichlet,Mean,36,losses,2.050743685913086,nan
MNIST,softmax,static,dirichlet,Mean,37,losses,2.050743685913086,nan
MNIST,softmax,static,dirichlet,Mean,38,losses,2.050743685913086,nan
MNIST,softmax,static,dirichlet,Mean,39,losses,2.050743685913086,nan
MNIST,softmax,static,dirichlet,Mean,40,losses,1.9864963027954101,nan
MNIST,softmax,static,dirichlet,Mean,41,losses,1.9864963027954101,nan
MNIST,softmax,static,dirichlet,Mean,42,losses,1.9864963027954101,nan
MNIST,softmax,static,dirichlet,Mean,43,losses,1.9864963027954101,nan
MNIST,softmax,static,dirichlet,Mean,44,losses,1.9864963027954101,nan
MNIST,softmax,static,dirichlet,Mean,45,losses,1.9864963027954101,nan
MNIST,softmax,static,dirichlet,Mean,46,losses,1.9864963027954101,nan
MNIST,softmax,static,dirichlet,Mean,47,losses,1.9864963027954101,nan
MNIST,softmax,static,dirichlet,Mean,48,losses,1.9864963027954101,nan
MNIST,softmax,static,dirichlet,Mean,49,losses,1.9864963027954101,nan
MNIST,softmax,static,dirichlet,Mean,50,losses,1.9273115642547607,nan
MNIST,softmax,static,dirichlet,Mean,51,losses,1.9273115642547607,nan
MNIST,softmax,static,dirichlet,Mean,52,losses,1.9273115642547607,nan
MNIST,softmax,static,dirichlet,Mean,53,losses,1.9273115642547607,nan
MNIST,softmax,static,dirichlet,Mean,54,losses,1.9273115642547607,nan
MNIST,softmax,static,dirichlet,Mean,55,losses,1.9273115642547607,nan
MNIST,softmax,static,dirichlet,Mean,56,losses,1.9273115642547607,nan
MNIST,softmax,static,dirichlet,Mean,57,losses,1.9273115642547607,nan
MNIST,softmax,static,dirichlet,Mean,58,losses,1.9273115642547607,nan
MNIST,softmax,static,dirichlet,Mean,59,losses,1.9273115642547607,nan
MNIST,softmax,static,dirichlet,Mean,60,losses,1.8711432540893556,nan
MNIST,softmax,static,dirichlet,Mean,61,losses,1.8711432540893556,nan
