Model,Attack,Partition,Aggregator,Iteration,Metric,Mean,CI
softmax,static,iid,Mean,0,accs,0.11195000000000002,0.021036892024356744
softmax,static,iid,Mean,1,accs,0.11195000000000002,0.021036892024356744
softmax,static,iid,Mean,2,accs,0.11195000000000002,0.021036892024356744
softmax,static,iid,Mean,3,accs,0.11195000000000002,0.021036892024356744
softmax,static,iid,Mean,4,accs,0.11195000000000002,0.021036892024356744
softmax,static,iid,Mean,5,accs,0.11195000000000002,0.021036892024356744
softmax,static,iid,Mean,6,accs,0.11195000000000002,0.021036892024356744
softmax,static,iid,Mean,7,accs,0.11195000000000002,0.021036892024356744
softmax,static,iid,Mean,8,accs,0.11195000000000002,0.021036892024356744
softmax,static,iid,Mean,9,accs,0.11195000000000002,0.021036892024356744
softmax,static,iid,Mean,10,accs,0.22912,0.032576772364779585
softmax,static,iid,Mean,11,accs,0.22912,0.032576772364779585
softmax,static,iid,Mean,12,accs,0.22912,0.032576772364779585
softmax,static,iid,Mean,13,accs,0.22912,0.032576772364779585
softmax,static,iid,Mean,14,accs,0.22912,0.032576772364779585
softmax,static,iid,Mean,15,accs,0.22912,0.032576772364779585
softmax,static,iid,Mean,16,accs,0.22912,0.032576772364779585
softmax,static,iid,Mean,17,accs,0.22912,0.032576772364779585
softmax,static,iid,Mean,18,accs,0.22912,0.032576772364779585
softmax,static,iid,Mean,19,accs,0.22912,0.032576772364779585
softmax,static,iid,Mean,20,accs,0.36832999999999994,0.04114263685624008
softmax,static,iid,Mean,21,accs,0.36832999999999994,0.04114263685624008
softmax,static,iid,Mean,22,accs,0.36832999999999994,0.04114263685624008
softmax,static,iid,Mean,23,accs,0.36832999999999994,0.04114263685624008
softmax,static,iid,Mean,24,accs,0.36832999999999994,0.04114263685624008
softmax,static,iid,Mean,25,accs,0.36832999999999994,0.04114263685624008
softmax,static,iid,Mean,26,accs,0.36832999999999994,0.04114263685624008
softmax,static,iid,Mean,27,accs,0.36832999999999994,0.04114263685624008
