Model,Attack,Partition,Aggregator,Iteration,Metric,Mean,CI
softmax,static,iid,Mean,0,accs,0.14654999999999999,0.06713
softmax,static,iid,Mean,1,accs,0.15940000000000001,0.068208
softmax,static,iid,Mean,0,losses,2.3033062057495117,0.05425257853698726
softmax,static,iid,Mean,1,losses,2.2934906246185305,0.05241567892456023
softmax,static,iid,Mean,0,xi,1.1647098064422607,0.19645731151103973
softmax,static,iid,Mean,1,xi,1.0405323505401611,0.11970934271812439
softmax,static,iid,Mean,0,A,1.5817782878875732,0.08070769160985947
softmax,static,iid,Mean,1,A,1.4775424003601074,0.05736568197607994
softmax,static,iid,Mean,0,variance,0.00016922049690037966,2.7648802642943338e-05
softmax,static,iid,Mean,1,variance,0.00014432179159484804,2.180148658226244e-05
softmax,static,iid,TriMean,0,accs,0.12595,0.06340599999999999
softmax,static,iid,TriMean,1,accs,0.1389,0.07389200000000001
softmax,static,iid,TriMean,0,losses,2.297589586830139,0.03288707682037349
softmax,static,iid,TriMean,1,losses,2.2876834966659545,0.033844832572936995
softmax,static,iid,TriMean,0,xi,1.4662680625915527,0.058490827679634094
softmax,static,iid,TriMean,1,xi,1.3119611740112305,0.09250995516777039
softmax,static,iid,TriMean,0,A,1.4616365432739258,0.0030852342024445534
softmax,static,iid,TriMean,1,A,1.369834542274475,0.015399184077978134
softmax,static,iid,TriMean,0,variance,0.00017895252676680684,1.606296791578643e-05
softmax,static,iid,TriMean,1,variance,0.00015312113100662827,1.2053206773998681e-05
softmax,static,iid,CC,0,accs,0.12745,0.030086
softmax,static,iid,CC,1,accs,0.1416,0.02254000000000002
softmax,static,iid,CC,0,losses,2.2960001619338986,0.004749199913025039
softmax,static,iid,CC,1,losses,2.2864320011138917,0.005014707672119431
softmax,static,iid,CC,0,xi,1.2308731079101562,0.12711144983768463
softmax,static,iid,CC,1,xi,1.1139793395996094,0.10039389133453369
softmax,static,iid,CC,0,A,1.517397165298462,0.15574048459529877
softmax,static,iid,CC,1,A,1.447535753250122,0.13251015543937683
softmax,static,iid,CC,0,variance,0.00016658850654494017,1.3352630048757419e-05
softmax,static,iid,CC,1,variance,0.00014288895181380212,1.526050800748635e-05
softmax,static,iid,FABA,0,accs,0.11195,0.04223800000000001
softmax,static,iid,FABA,1,accs,0.12465000000000001,0.04047400000000002
softmax,static,iid,FABA,0,losses,2.307705909347534,0.02229191806030284
softmax,static,iid,FABA,1,losses,2.297572707176209,0.022621039237976166
softmax,static,iid,FABA,0,xi,1.3820974826812744,0.008579284884035587
softmax,static,iid,FABA,1,xi,1.2454030513763428,0.07058794796466827
softmax,static,iid,FABA,0,A,1.635312557220459,0.03193122148513794
softmax,static,iid,FABA,1,A,1.554950475692749,0.03221919760107994
softmax,static,iid,FABA,0,variance,0.00020539379329420626,8.415999218414072e-06
softmax,static,iid,FABA,1,variance,0.00017415184993296862,2.0189836504869163e-06
softmax,static,iid,LFighter,0,accs,0.09515,0.04792199999999999
softmax,static,iid,LFighter,1,accs,0.11680000000000001,0.06232799999999999
softmax,static,iid,LFighter,0,losses,2.308231035041809,0.047321067741394315
softmax,static,iid,LFighter,1,losses,2.296856541633606,0.0470917892227176
softmax,static,iid,LFighter,0,xi,1.277276635169983,0.21973563730716705
softmax,static,iid,LFighter,1,xi,1.1608121395111084,0.20179563760757446
softmax,static,iid,LFighter,0,A,1.4428730010986328,0.024434788152575493
softmax,static,iid,LFighter,1,A,1.3502869606018066,0.04200645163655281
softmax,static,iid,LFighter,0,variance,0.00019213624182157218,4.0686569263925776e-05
softmax,static,iid,LFighter,1,variance,0.00016143886023201048,3.348791869939305e-05
softmax,static,dirichlet,Mean,0,accs,0.0865,0.030575999999999992
softmax,static,dirichlet,Mean,1,accs,0.1032,0.046648
softmax,static,dirichlet,Mean,0,losses,2.3172572059631347,0.0030493677368165707
softmax,static,dirichlet,Mean,1,losses,2.3072551973342894,0.003762347419738638
softmax,static,dirichlet,Mean,0,xi,2.725142240524292,0.8084615468978882
softmax,static,dirichlet,Mean,1,xi,2.655618667602539,0.8303850889205933
softmax,static,dirichlet,Mean,0,A,2.31738543510437,0.6597291231155396
softmax,static,dirichlet,Mean,1,A,2.254596710205078,0.6513059139251709
softmax,static,dirichlet,Mean,0,variance,0.000547090545296669,4.9987855163635686e-05
softmax,static,dirichlet,Mean,1,variance,0.0005226981593295932,4.9305275751976296e-05
softmax,static,dirichlet,TriMean,0,accs,0.087,0.07702799999999999
softmax,static,dirichlet,TriMean,1,accs,0.0938,0.08016399999999999
softmax,static,dirichlet,TriMean,0,losses,2.3349080696105955,0.0622933255615234
softmax,static,dirichlet,TriMean,1,losses,2.3267919883728028,0.06142717041015621
softmax,static,dirichlet,TriMean,0,xi,2.4349966049194336,0.0668414831161499
softmax,static,dirichlet,TriMean,1,xi,2.3715696334838867,0.025777459144592285
softmax,static,dirichlet,TriMean,0,A,1.958521842956543,0.046886004507541656
softmax,static,dirichlet,TriMean,1,A,1.9137262105941772,0.09958989918231964
softmax,static,dirichlet,TriMean,0,variance,0.00046511105028912425,1.3980138646729756e-05
softmax,static,dirichlet,TriMean,1,variance,0.0004370225651655346,2.398143260506913e-05
softmax,static,dirichlet,CC,0,accs,0.10045,0.028322000000000003
softmax,static,dirichlet,CC,1,accs,0.11205,0.04125799999999999
softmax,static,dirichlet,CC,0,losses,2.311447735595703,0.04680956182861312
softmax,static,dirichlet,CC,1,losses,2.301606686973572,0.047507743415832485
softmax,static,dirichlet,CC,0,xi,2.7185022830963135,0.29526424407958984
softmax,static,dirichlet,CC,1,xi,2.6795177459716797,0.3105396330356598
softmax,static,dirichlet,CC,0,A,2.112936496734619,0.1929626166820526
softmax,static,dirichlet,CC,1,A,2.052042007446289,0.20189039409160614
softmax,static,dirichlet,CC,0,variance,0.0005623777979053557,0.00010343813482904807
softmax,static,dirichlet,CC,1,variance,0.0005295824375934899,0.00010125892731593922
softmax,static,dirichlet,FABA,0,accs,0.1054,0.014503999999999993
softmax,static,dirichlet,FABA,1,accs,0.1162,0.020972000000000015
softmax,static,dirichlet,FABA,0,losses,2.3162580350875857,0.0024440555648806406
softmax,static,dirichlet,FABA,1,losses,2.306408863258362,0.003640663139343427
softmax,static,dirichlet,FABA,0,xi,2.9176478385925293,0.040260039269924164
softmax,static,dirichlet,FABA,1,xi,2.8778581619262695,0.013086514547467232
softmax,static,dirichlet,FABA,0,A,2.1500909328460693,0.18385186791419983
softmax,static,dirichlet,FABA,1,A,2.0809481143951416,0.16126808524131775
softmax,static,dirichlet,FABA,0,variance,0.000577822735067457,1.7686796127236448e-05
softmax,static,dirichlet,FABA,1,variance,0.0005555826937779784,3.6985016777180135e-05
softmax,static,dirichlet,LFighter,0,accs,0.10450000000000001,0.02587199999999999
softmax,static,dirichlet,LFighter,1,accs,0.1168,0.03332
softmax,static,dirichlet,LFighter,0,losses,2.3097076025009153,0.023384403251647888
softmax,static,dirichlet,LFighter,1,losses,2.2994731899261476,0.02429291937255839
softmax,static,dirichlet,LFighter,0,xi,2.5478100776672363,0.019714470952749252
softmax,static,dirichlet,LFighter,1,xi,2.515369415283203,0.03173413872718811
softmax,static,dirichlet,LFighter,0,A,2.1650373935699463,0.8891844153404236
softmax,static,dirichlet,LFighter,1,A,2.148364543914795,0.877301037311554
softmax,static,dirichlet,LFighter,0,variance,0.0005617582937702537,0.00013043996295891702
softmax,static,dirichlet,LFighter,1,variance,0.0005365241668187082,0.00011858395737363026
softmax,static,pathological,Mean,0,accs,0.11755,0.015581999999999997
softmax,static,pathological,Mean,1,accs,0.12535,0.021265999999999983
softmax,static,pathological,Mean,0,losses,2.297036453056336,0.010014500236511247
softmax,static,pathological,Mean,1,losses,2.287780217933655,0.010374761940002485
softmax,static,pathological,Mean,0,xi,4.133586883544922,0.3661663234233856
softmax,static,pathological,Mean,1,xi,4.06581974029541,0.34440696239471436
softmax,static,pathological,Mean,0,A,2.657526969909668,0.055438652634620667
softmax,static,pathological,Mean,1,A,2.6301329135894775,0.0866519883275032
softmax,static,pathological,Mean,0,variance,0.0011883736588060856,6.064728950150311e-05
softmax,static,pathological,Mean,1,variance,0.0011695576831698418,7.041919161565602e-05
softmax,static,pathological,TriMean,0,accs,0.10095,0.030673999999999993
softmax,static,pathological,TriMean,1,accs,0.1041,0.026656000000000003
softmax,static,pathological,TriMean,0,losses,2.3269116539001464,0.03505408903503449
softmax,static,pathological,TriMean,1,losses,2.3207798965454103,0.03543981898498548
softmax,static,pathological,TriMean,0,xi,4.049101829528809,0.38452890515327454
softmax,static,pathological,TriMean,1,xi,4.0480265617370605,0.39497819542884827
softmax,static,pathological,TriMean,0,A,3.2634940147399902,0.7828336358070374
softmax,static,pathological,TriMean,1,A,3.1953256130218506,0.7795290946960449
softmax,static,pathological,TriMean,0,variance,0.0013194787316024303,0.0002139002608601004
softmax,static,pathological,TriMean,1,variance,0.001295910682529211,0.00021272929734550416
softmax,static,pathological,CC,0,accs,0.1232,0.04703999999999999
softmax,static,pathological,CC,1,accs,0.13190000000000002,0.04312000000000001
softmax,static,pathological,CC,0,losses,2.3105273509979245,0.01885808993530266
softmax,static,pathological,CC,1,losses,2.301508224487305,0.01939955354309074
softmax,static,pathological,CC,0,xi,4.196656227111816,0.8223602771759033
softmax,static,pathological,CC,1,xi,4.180114269256592,0.7431093454360962
softmax,static,pathological,CC,0,A,3.110949993133545,0.503622829914093
softmax,static,pathological,CC,1,A,3.048776865005493,0.5152239799499512
softmax,static,pathological,CC,0,variance,0.0012766111176460981,0.0004230500780977309
softmax,static,pathological,CC,1,variance,0.0012566926889121532,0.00041803799103945494
softmax,static,pathological,FABA,0,accs,0.10300000000000001,0.036848
softmax,static,pathological,FABA,1,accs,0.1084,0.04155199999999999
softmax,static,pathological,FABA,0,losses,2.3124535734176637,0.043914510520934834
softmax,static,pathological,FABA,1,losses,2.303890777206421,0.04554402781677264
softmax,static,pathological,FABA,0,xi,5.090828895568848,1.8420902490615845
softmax,static,pathological,FABA,1,xi,5.11440372467041,1.7368725538253784
softmax,static,pathological,FABA,0,A,3.263803482055664,0.4275035262107849
softmax,static,pathological,FABA,1,A,3.213027000427246,0.5207387804985046
softmax,static,pathological,FABA,0,variance,0.0014033856568858027,0.0002453633351251483
softmax,static,pathological,FABA,1,variance,0.0013855253346264362,0.00023417080228682607
softmax,static,pathological,LFighter,0,accs,0.1291,0.10721199999999999
softmax,static,pathological,LFighter,1,accs,0.14175,0.11162199999999997
softmax,static,pathological,LFighter,0,losses,2.2975410930633546,0.05214263865661635
softmax,static,pathological,LFighter,1,losses,2.2877772724151613,0.0520651923980713
softmax,static,pathological,LFighter,0,xi,3.7913007736206055,0.03975675255060196
softmax,static,pathological,LFighter,1,xi,3.7684006690979004,0.08196239173412323
softmax,static,pathological,LFighter,0,A,3.2271084785461426,0.3773271143436432
softmax,static,pathological,LFighter,1,A,3.2058873176574707,0.44130057096481323
softmax,static,pathological,LFighter,0,variance,0.0012418626574799418,0.0001765277556842193
softmax,static,pathological,LFighter,1,variance,0.001218293560668826,0.00016973867604974657
softmax,static,noniid,Mean,0,accs,0.1105,0.02057999999999999
softmax,static,noniid,Mean,1,accs,0.1288,0.005880000000000005
softmax,static,noniid,Mean,0,losses,2.3233741525650027,0.021080899314880018
softmax,static,noniid,Mean,1,losses,2.3144022844314573,0.022730034629821642
softmax,static,noniid,Mean,0,xi,7.664595603942871,0.044433265924453735
