dataset,n_clients,trial,partition_method,frac_one_class,mean_unique_classes,mean_entropy
digits,5,13,Dirichlet (α=1.0),0.0,10.0,0.867237481477709
digits,5,13,Dirichlet (α=0.5),0.0,9.4,0.7907905453106236
digits,5,13,Dirichlet (α=0.1),0.0,6.2,0.49942362092849457
digits,5,13,Forcé (1 classe/client),1.0,1.0,0.0
digits,5,14,IID,0.0,10.0,0.9953946202587531
digits,5,14,Dirichlet (α=10.0),0.0,10.0,0.9863248007553921
digits,5,14,Dirichlet (α=1.0),0.0,9.8,0.8760286205808061
digits,5,14,Dirichlet (α=0.5),0.0,9.6,0.7585158030431046
digits,5,14,Dirichlet (α=0.1),0.0,6.2,0.5189780038832159
digits,5,14,Forcé (1 classe/client),1.0,1.0,0.0
digits,5,15,IID,0.0,10.0,0.9963394628756962
digits,5,15,Dirichlet (α=10.0),0.0,10.0,0.9857003763141228
digits,5,15,Dirichlet (α=1.0),0.0,9.8,0.8448629410691995
digits,5,15,Dirichlet (α=0.5),0.0,9.4,0.7769289755545915
digits,5,15,Dirichlet (α=0.1),0.0,5.6,0.4585263040465131
digits,5,15,Forcé (1 classe/client),1.0,1.0,0.0
digits,5,16,IID,0.0,10.0,0.9958934784625896
digits,5,16,Dirichlet (α=10.0),0.0,10.0,0.9860208975439294
digits,5,16,Dirichlet (α=1.0),0.0,10.0,0.8557472508643851
digits,5,16,Dirichlet (α=0.5),0.0,9.2,0.8390029696360177
digits,5,16,Dirichlet (α=0.1),0.0,6.6,0.5434667713969337
digits,5,16,Forcé (1 classe/client),1.0,1.0,0.0
digits,5,17,IID,0.0,10.0,0.9970789026034202
digits,5,17,Dirichlet (α=10.0),0.0,10.0,0.9809915184956793
digits,5,17,Dirichlet (α=1.0),0.0,10.0,0.9102897500778843
digits,5,17,Dirichlet (α=0.5),0.0,9.2,0.7785462643100992
digits,5,17,Dirichlet (α=0.1),0.0,7.2,0.5627967472034667
digits,5,17,Forcé (1 classe/client),1.0,1.0,0.0
digits,5,18,IID,0.0,10.0,0.9960932282613332
digits,5,18,Dirichlet (α=10.0),0.0,10.0,0.9874272723645013
digits,5,18,Dirichlet (α=1.0),0.0,10.0,0.83812985477758
digits,5,18,Dirichlet (α=0.5),0.0,9.6,0.7469177312262862
digits,5,18,Dirichlet (α=0.1),0.0,6.6,0.46629252521341896
digits,5,18,Forcé (1 classe/client),1.0,1.0,0.0
digits,5,19,IID,0.0,10.0,0.9962204604349602
digits,5,19,Dirichlet (α=10.0),0.0,10.0,0.9863440262325185
digits,5,19,Dirichlet (α=1.0),0.0,9.8,0.8314687454080559
digits,5,19,Dirichlet (α=0.5),0.0,9.2,0.7793270059913503
digits,5,19,Dirichlet (α=0.1),0.0,5.4,0.4077591688998151
digits,5,19,Forcé (1 classe/client),1.0,1.0,0.0
digits,5,20,IID,0.0,10.0,0.9953870344093604
digits,5,20,Dirichlet (α=10.0),0.0,10.0,0.9859824388662732
digits,5,20,Dirichlet (α=1.0),0.0,9.8,0.8637796978950403
digits,5,20,Dirichlet (α=0.5),0.0,9.4,0.770450369927033
digits,5,20,Dirichlet (α=0.1),0.0,7.4,0.5611438973169555
digits,5,20,Forcé (1 classe/client),1.0,1.0,0.0
digits,5,21,IID,0.0,10.0,0.9961037095228609
digits,5,21,Dirichlet (α=10.0),0.0,10.0,0.980156500520523
digits,5,21,Dirichlet (α=1.0),0.0,9.8,0.8809632124639654
digits,5,21,Dirichlet (α=0.5),0.0,9.4,0.831961682984806
digits,5,21,Dirichlet (α=0.1),0.0,7.2,0.5253927847633193
digits,5,21,Forcé (1 classe/client),1.0,1.0,0.0
digits,5,22,IID,0.0,10.0,0.9969582459411809
digits,5,22,Dirichlet (α=10.0),0.0,10.0,0.9807005796553907
digits,5,22,Dirichlet (α=1.0),0.0,10.0,0.8827014239017469
digits,5,22,Dirichlet (α=0.5),0.0,9.8,0.7812377112330722
digits,5,22,Dirichlet (α=0.1),0.0,6.4,0.5550185779354433
digits,5,22,Forcé (1 classe/client),1.0,1.0,0.0
digits,5,23,IID,0.0,10.0,0.9955482838473528
digits,5,23,Dirichlet (α=10.0),0.0,10.0,0.9837183919963008
digits,5,23,Dirichlet (α=1.0),0.0,10.0,0.9047185036169827
digits,5,23,Dirichlet (α=0.5),0.0,9.2,0.7772815495900345
digits,5,23,Dirichlet (α=0.1),0.0,6.0,0.4743455484560015
digits,5,23,Forcé (1 classe/client),1.0,1.0,0.0
digits,5,24,IID,0.0,10.0,0.9938452522877679
digits,5,24,Dirichlet (α=10.0),0.0,10.0,0.9820245196439531
digits,5,24,Dirichlet (α=1.0),0.0,10.0,0.8306427902843238
digits,5,24,Dirichlet (α=0.5),0.0,9.4,0.7954394313013127
digits,5,24,Dirichlet (α=0.1),0.0,5.4,0.4596557951085165
digits,5,24,Forcé (1 classe/client),1.0,1.0,0.0
digits,5,25,IID,0.0,10.0,0.9958771872294095
digits,5,25,Dirichlet (α=10.0),0.0,10.0,0.9832409696858881
digits,5,25,Dirichlet (α=1.0),0.0,9.8,0.8867279666018508
digits,5,25,Dirichlet (α=0.5),0.0,9.6,0.7893188540950495
digits,5,25,Dirichlet (α=0.1),0.0,5.4,0.44666998059829555
digits,5,25,Forcé (1 classe/client),1.0,1.0,0.0
digits,5,26,IID,0.0,10.0,0.9948325518593559
digits,5,26,Dirichlet (α=10.0),0.0,10.0,0.9881896095289224
digits,5,26,Dirichlet (α=1.0),0.0,10.0,0.9250260544757978
digits,5,26,Dirichlet (α=0.5),0.0,9.2,0.7559059308730381
digits,5,26,Dirichlet (α=0.1),0.0,6.8,0.4768251751400377
digits,5,26,Forcé (1 classe/client),1.0,1.0,0.0
digits,5,27,IID,0.0,10.0,0.9948448041773228
digits,5,27,Dirichlet (α=10.0),0.0,10.0,0.9826382775706506
digits,5,27,Dirichlet (α=1.0),0.0,10.0,0.8788125997314216
digits,5,27,Dirichlet (α=0.5),0.0,9.4,0.7831652857877884
digits,5,27,Dirichlet (α=0.1),0.0,6.0,0.49101805077720895
digits,5,27,Forcé (1 classe/client),1.0,1.0,0.0
digits,5,28,IID,0.0,10.0,0.9957122372711902
digits,5,28,Dirichlet (α=10.0),0.0,10.0,0.9841737944319157
digits,5,28,Dirichlet (α=1.0),0.0,9.6,0.8315532978200479
digits,5,28,Dirichlet (α=0.5),0.0,9.6,0.7180703728630673
digits,5,28,Dirichlet (α=0.1),0.0,7.2,0.5425553487349707
digits,5,28,Forcé (1 classe/client),1.0,1.0,0.0
digits,5,29,IID,0.0,10.0,0.9944649128519739
digits,5,29,Dirichlet (α=10.0),0.0,10.0,0.9900415533389427
digits,5,29,Dirichlet (α=1.0),0.0,10.0,0.8613050300995072
digits,5,29,Dirichlet (α=0.5),0.0,9.4,0.7273771055950284
digits,5,29,Dirichlet (α=0.1),0.0,6.6,0.5114823257739585
digits,5,29,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,0,IID,0.0,10.0,0.9896655274661217
digits,10,0,Dirichlet (α=10.0),0.0,10.0,0.9838053145374447
digits,10,0,Dirichlet (α=1.0),0.0,9.7,0.8325849252276596
digits,10,0,Dirichlet (α=0.5),0.0,9.1,0.8071626286757978
digits,10,0,Dirichlet (α=0.1),0.0,6.0,0.46203080760897386
digits,10,0,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,1,IID,0.0,10.0,0.9902123806795936
digits,10,1,Dirichlet (α=10.0),0.0,10.0,0.985296500520535
digits,10,1,Dirichlet (α=1.0),0.0,10.0,0.8704911418006805
digits,10,1,Dirichlet (α=0.5),0.0,9.3,0.77768342735628
digits,10,1,Dirichlet (α=0.1),0.0,5.8,0.49489992878772854
digits,10,1,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,2,IID,0.0,10.0,0.9921174448019808
digits,10,2,Dirichlet (α=10.0),0.0,10.0,0.9821981907643911
digits,10,2,Dirichlet (α=1.0),0.0,9.8,0.8766507719369951
digits,10,2,Dirichlet (α=0.5),0.0,9.1,0.7753492125781845
digits,10,2,Dirichlet (α=0.1),0.0,6.2,0.4929459170211737
digits,10,2,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,3,IID,0.0,10.0,0.9933718089643898
digits,10,3,Dirichlet (α=10.0),0.0,10.0,0.9783905659276462
digits,10,3,Dirichlet (α=1.0),0.0,9.6,0.8512750764329547
digits,10,3,Dirichlet (α=0.5),0.0,9.2,0.7817358908736962
digits,10,3,Dirichlet (α=0.1),0.0,5.6,0.4183156886473479
digits,10,3,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,4,IID,0.0,10.0,0.9890565201899637
digits,10,4,Dirichlet (α=10.0),0.0,10.0,0.9825986452583345
digits,10,4,Dirichlet (α=1.0),0.0,9.7,0.8214210207018169
digits,10,4,Dirichlet (α=0.5),0.0,8.9,0.7114358775640908
digits,10,4,Dirichlet (α=0.1),0.0,6.1,0.5197133568818134
digits,10,4,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,5,IID,0.0,10.0,0.9882227945426358
digits,10,5,Dirichlet (α=10.0),0.0,10.0,0.9811445626834121
digits,10,5,Dirichlet (α=1.0),0.0,10.0,0.8696082384882183
digits,10,5,Dirichlet (α=0.5),0.0,8.9,0.7118077691802556
digits,10,5,Dirichlet (α=0.1),0.0,5.2,0.44926191983691055
digits,10,5,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,6,IID,0.0,10.0,0.989373053398636
digits,10,6,Dirichlet (α=10.0),0.0,10.0,0.9814917710846928
digits,10,6,Dirichlet (α=1.0),0.0,9.5,0.8578839126913463
digits,10,6,Dirichlet (α=0.5),0.0,9.1,0.7146838153833379
digits,10,6,Dirichlet (α=0.1),0.0,5.6,0.3860185188902655
digits,10,6,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,7,IID,0.0,10.0,0.9924349962335827
digits,10,7,Dirichlet (α=10.0),0.0,10.0,0.9830645352820488
digits,10,7,Dirichlet (α=1.0),0.0,9.5,0.8110384476551143
digits,10,7,Dirichlet (α=0.5),0.0,9.3,0.7944474569586036
digits,10,7,Dirichlet (α=0.1),0.0,5.5,0.48803353729046706
digits,10,7,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,8,IID,0.0,10.0,0.9885323346731585
digits,10,8,Dirichlet (α=10.0),0.0,10.0,0.9839263389726935
digits,10,8,Dirichlet (α=1.0),0.0,9.5,0.8470992699675912
digits,10,8,Dirichlet (α=0.5),0.0,8.9,0.7591928281254307
digits,10,8,Dirichlet (α=0.1),0.0,5.9,0.5224790282796562
digits,10,8,Forcé (1 classe/client),1.0,1.0,0.0
digits,10,9,IID,0.0,10.0,0.9876487798076046
