Attack,Partition,Aggregator,Iteration,TestAccuracy,TestLoss,xi,A
static,dirichlet,FABA,3,0.0874,2.303396486282349,2.6034979820251465,1.9053163528442383
static,dirichlet,FABA,4,0.099,2.2948482089996336,2.553924083709717,1.8793143033981323
static,dirichlet,FABA,5,0.1111,2.2863988983154298,2.568687677383423,1.8578190803527832
static,dirichlet,FABA,6,0.1224,2.2781354885101317,2.5875442028045654,1.822937250137329
static,dirichlet,FABA,7,0.1356,2.2699823181152343,2.5790274143218994,1.7925548553466797
static,dirichlet,FABA,8,0.1488,2.26199422454834,2.5622754096984863,1.7604143619537354
static,dirichlet,FABA,9,0.1637,2.254191862487793,2.5652518272399902,1.7103229761123657
static,dirichlet,CC,0,0.0816,2.3284653953552246,2.714110851287842,2.415951728820801
static,dirichlet,CC,1,0.0884,2.3194029735565187,2.624403715133667,2.296308994293213
static,dirichlet,CC,2,0.0964,2.3103991828918455,2.6444292068481445,2.290621042251587
static,dirichlet,CC,3,0.1056,2.3014918956756594,2.65350341796875,2.2585017681121826
static,dirichlet,CC,4,0.1154,2.292657048034668,2.6389853954315186,2.2154760360717773
static,dirichlet,CC,5,0.1254,2.283897812652588,2.633145809173584,2.171234130859375
static,dirichlet,CC,6,0.1401,2.275196780395508,2.6088411808013916,2.0755462646484375
static,dirichlet,CC,7,0.1529,2.2665864612579347,2.6021196842193604,2.0174124240875244
static,dirichlet,CC,8,0.1665,2.2580616565704346,2.6006884574890137,1.9883157014846802
static,dirichlet,CC,9,0.1822,2.249646593093872,2.621108055114746,1.95854651927948
static,dirichlet,LFighter,0,0.1345,2.303984164428711,2.6892478466033936,2.0802993774414062
static,dirichlet,LFighter,1,0.1441,2.295685950088501,2.5669376850128174,1.9811776876449585
static,dirichlet,LFighter,2,0.1564,2.2875332107543946,2.4709224700927734,1.9226025342941284
static,dirichlet,LFighter,3,0.1667,2.2795612087249757,2.414064884185791,1.84018075466156
static,dirichlet,LFighter,4,0.1766,2.271732786178589,2.384127378463745,1.7945361137390137
static,dirichlet,LFighter,5,0.1874,2.264006242752075,2.3327622413635254,1.8184925317764282
static,dirichlet,LFighter,6,0.1969,2.25656763381958,2.2259929180145264,1.8769077062606812
static,dirichlet,LFighter,7,0.2069,2.249275262832642,2.130352020263672,1.8832916021347046
static,dirichlet,LFighter,8,0.216,2.2420388671875,2.075817346572876,1.8707587718963623
static,dirichlet,LFighter,9,0.2218,2.236022629928589,2.0737218856811523,1.8383451700210571
static,noniid,Mean,0,0.1408,2.3173550567626955,7.275157451629639,6.01711893081665
static,noniid,Mean,1,0.1433,2.309148976135254,7.248741626739502,6.039223670959473
static,noniid,Mean,2,0.143,2.301350749206543,7.283290386199951,6.043111324310303
static,noniid,Mean,3,0.1397,2.2939673236846922,7.278607368469238,6.003757476806641
static,noniid,Mean,4,0.1416,2.2869957679748536,7.271937370300293,5.991477012634277
static,noniid,Mean,5,0.1469,2.280386163711548,7.243634223937988,5.958920001983643
static,noniid,Mean,6,0.1551,2.274168170928955,7.207006931304932,6.026370048522949
static,noniid,Mean,7,0.1694,2.268266083908081,7.203310489654541,5.970280647277832
static,noniid,Mean,8,0.1815,2.262607918548584,7.185471534729004,5.910297393798828
static,noniid,Mean,9,0.1905,2.257251557922363,7.172651290893555,5.91074275970459
static,noniid,TriMean,0,0.1225,2.316926543045044,7.24014139175415,5.879013538360596
static,noniid,TriMean,1,0.1223,2.3150293369293213,7.26019811630249,5.839826583862305
static,noniid,TriMean,2,0.1232,2.3131666091918945,7.25630521774292,5.841721057891846
static,noniid,TriMean,3,0.1238,2.311334753036499,7.300321578979492,5.8364176750183105
static,noniid,TriMean,4,0.1242,2.3095330856323244,7.308722496032715,5.796685218811035
static,noniid,TriMean,5,0.1268,2.30776016998291,7.29824161529541,5.843549728393555
static,noniid,TriMean,6,0.1291,2.306019528198242,7.328500270843506,5.821615219116211
static,noniid,TriMean,7,0.1291,2.3043111892700194,7.355166435241699,5.762799263000488
static,noniid,TriMean,8,0.13,2.302632135772705,7.345098972320557,5.734040260314941
static,noniid,TriMean,9,0.1309,2.3009848651885987,7.340697288513184,5.679876327514648
static,noniid,FABA,0,0.1251,2.3010893669128416,7.278547763824463,5.594062805175781
static,noniid,FABA,1,0.1497,2.2935569831848146,7.300957679748535,5.62514591217041
static,noniid,FABA,2,0.1741,2.286410400390625,7.340224266052246,5.604371547698975
static,noniid,FABA,3,0.1922,2.2796584823608397,7.318981647491455,5.650994300842285
static,noniid,FABA,4,0.2106,2.2732624042510987,7.346624374389648,5.676642894744873
static,noniid,FABA,5,0.2232,2.2672095149993896,7.372551441192627,5.717501640319824
static,noniid,FABA,6,0.2359,2.2614849460601807,7.382174491882324,5.721885681152344
static,noniid,FABA,7,0.2469,2.2560491916656495,7.372830390930176,5.699063777923584
static,noniid,FABA,8,0.2546,2.2509098304748534,7.404289722442627,5.739367485046387
static,noniid,FABA,9,0.2571,2.2460253730773925,7.36415433883667,5.737234592437744
static,noniid,CC,0,0.157,2.2781005352020265,7.649098873138428,5.43013858795166
static,noniid,CC,1,0.1712,2.2700197147369385,7.659473419189453,5.4206862449646
static,noniid,CC,2,0.19,2.26226057434082,7.63642692565918,5.463600158691406
static,noniid,CC,3,0.2059,2.2548418983459473,7.597890377044678,5.531155109405518
static,noniid,CC,4,0.2252,2.2477005138397215,7.578498840332031,5.556896209716797
static,noniid,CC,5,0.2417,2.240887180328369,7.565766334533691,5.57859992980957
static,noniid,CC,6,0.2508,2.234390581512451,7.517770290374756,5.601728439331055
static,noniid,CC,7,0.2631,2.2281994689941405,7.492307186126709,5.627770900726318
static,noniid,CC,8,0.2693,2.2223311389923097,7.473494052886963,5.6896748542785645
static,noniid,CC,9,0.2743,2.2167475646972656,7.433217525482178,5.614957332611084
static,noniid,LFighter,0,0.163,2.2624550903320313,7.260542869567871,6.197012424468994
static,noniid,LFighter,1,0.1769,2.2565724674224854,7.219634532928467,6.181855201721191
static,noniid,LFighter,2,0.1927,2.2513112201690673,7.188071250915527,6.218444347381592
static,noniid,LFighter,3,0.2032,2.246551472091675,7.16393518447876,6.156659126281738
static,noniid,LFighter,4,0.2056,2.242302815628052,7.155811309814453,6.135763168334961
static,noniid,LFighter,5,0.2107,2.238531169128418,7.118256568908691,6.118296146392822
static,noniid,LFighter,6,0.2128,2.2352488231658936,7.080838680267334,6.096673488616943
static,noniid,LFighter,7,0.216,2.2323711448669434,7.045542240142822,6.033339500427246
static,noniid,LFighter,8,0.2176,2.2297834033966066,7.025748252868652,5.985410213470459
static,noniid,LFighter,9,0.2201,2.2274708869934083,6.985763072967529,5.919480323791504
